ride_id,timestamp,pickup_location,fare_amount,driver_rating,ride_status,hour_of_day
277dc2ab,2026-05-27 11:31:26.142206,Mumbai_Thane,509.55,1.0,COMPLETED,11
e0db8ef4,2026-05-27 11:58:14.144225,Mumbai_Bandra,360.35,4.0,COMPLETED,11
eea0f7cc,2026-05-27 11:30:05.144267,Mumbai_Colaba,278.93,2.0,CANCELLED,11
fe92c291,2026-05-27 12:11:49.144278,Mumbai_Bandra,531.39,5.0,COMPLETED,12
0080992a,2026-05-27 12:10:38.144285,Mumbai_Thane,1354.2,5.0,NO_DRIVER_AVAILABLE,12
790ab81b,2026-05-27 11:27:16.144293,Mumbai_Andheri,435.86,5.0,COMPLETED,11
a09c3985,2026-05-27 11:35:24.144299,Mumbai_Thane,298.44,4.0,CANCELLED,11
c1d10f93,2026-05-27 12:23:40.144306,Mumbai_Andheri,1366.98,4.0,COMPLETED,12
246d0032,2026-05-27 11:31:38.144313,Mumbai_Colaba,630.75,5.0,COMPLETED,11
1385d0c0,2026-05-27 11:36:03.144320,Mumbai_Colaba,133.3,4.0,CANCELLED,11
022669d3,2026-05-27 11:51:39.144326,Mumbai_Colaba,687.68,5.0,COMPLETED,11
7c7b2ec1,2026-05-27 11:51:10.144339,Mumbai_Thane,317.76,5.0,COMPLETED,11
14bb8c4d,2026-05-27 12:23:29.144352,Mumbai_Andheri,781.99,4.0,COMPLETED,12
cde76fbb,2026-05-27 12:09:46.144358,Mumbai_Colaba,355.43,2.0,COMPLETED,12
87de352d,2026-05-27 12:06:30.144365,Mumbai_Andheri,796.23,3.0,COMPLETED,12
bc06e703,2026-05-27 11:28:29.144371,Mumbai_Colaba,659.96,3.0,CANCELLED,11
6566ceee,2026-05-27 12:12:50.144378,Mumbai_Colaba,1299.47,3.0,COMPLETED,12
c2d14246,2026-05-27 11:37:09.144384,Mumbai_Bandra,226.28,4.0,CANCELLED,11
3a88166c,2026-05-27 11:33:33.144390,Mumbai_Colaba,1267.66,5.0,CANCELLED,11
e824ee30,2026-05-27 11:55:33.144404,Mumbai_Colaba,1159.33,4.0,COMPLETED,11
15c654ad,2026-05-27 11:31:41.144412,Mumbai_Bandra,1121.88,5.0,COMPLETED,11
c9acea09,2026-05-27 11:31:17.144418,Mumbai_Colaba,801.89,5.0,CANCELLED,11
db977ba5,2026-05-27 11:34:47.144425,Mumbai_Colaba,1156.27,3.0,COMPLETED,11
640af8e6,2026-05-27 11:47:43.144431,Mumbai_Colaba,787.24,4.0,COMPLETED,11
bb75038c,2026-05-27 11:26:08.144438,Mumbai_Colaba,299.28,5.0,CANCELLED,11
e5d073c7,2026-05-27 11:40:25.144444,Mumbai_Colaba,837.16,5.0,COMPLETED,11
0ed19cb8,2026-05-27 11:27:06.144450,Mumbai_Bandra,147.75,2.0,COMPLETED,11
06f89e76,2026-05-27 12:15:00.144457,Mumbai_Andheri,899.29,5.0,COMPLETED,12
67caedf6,2026-05-27 11:53:45.144463,Mumbai_Bandra,898.12,3.0,NO_DRIVER_AVAILABLE,11
68003a24,2026-05-27 11:26:04.144469,Mumbai_Thane,1026.35,5.0,COMPLETED,11
67dc5132,2026-05-27 11:57:38.144475,Mumbai_Andheri,974.02,1.0,COMPLETED,11
03a10780,2026-05-27 12:18:09.144482,Mumbai_Bandra,632.09,4.0,COMPLETED,12
cbf07be0,2026-05-27 12:22:18.144488,Mumbai_Andheri,844.21,5.0,CANCELLED,12
8224bd8e,2026-05-27 12:21:24.144494,Mumbai_Andheri,1235.28,1.0,COMPLETED,12
dd2e77c7,2026-05-27 12:03:05.144500,Mumbai_Andheri,145.75,5.0,COMPLETED,12
5b0b4045,2026-05-27 12:04:37.144507,Mumbai_Thane,482.27,5.0,CANCELLED,12
8483e762,2026-05-27 11:29:03.144513,Mumbai_Bandra,364.3,4.0,COMPLETED,11
a03a3350,2026-05-27 11:40:28.144519,Mumbai_Andheri,899.9,4.0,CANCELLED,11
668520f7,2026-05-27 11:39:36.144525,Mumbai_Thane,440.37,5.0,COMPLETED,11
a054b19d,2026-05-27 12:07:18.144532,Mumbai_Bandra,753.82,5.0,COMPLETED,12
8f3c6dd0,2026-05-27 11:53:15.144538,Mumbai_Bandra,1299.02,5.0,COMPLETED,11
08df0333,2026-05-27 12:00:05.144544,Mumbai_Bandra,1063.61,4.0,COMPLETED,12
685438af,2026-05-27 11:54:18.144550,Mumbai_Colaba,209.09,4.0,COMPLETED,11
17e12859,2026-05-27 12:01:10.144557,Mumbai_Thane,645.18,4.0,COMPLETED,12
cf953bc2,2026-05-27 11:36:21.144563,Mumbai_Bandra,1426.02,4.0,COMPLETED,11
7734e588,2026-05-27 11:32:24.144569,Mumbai_Colaba,965.84,5.0,COMPLETED,11
afb8621a,2026-05-27 11:48:05.144575,Mumbai_Thane,1465.83,1.0,COMPLETED,11
0362d585,2026-05-27 12:23:11.144581,Mumbai_Colaba,1419.14,3.0,COMPLETED,12
89797d53,2026-05-27 11:28:13.144587,Mumbai_Andheri,820.21,5.0,COMPLETED,11
4d00c6a3,2026-05-27 11:39:59.144593,Mumbai_Colaba,1294.67,4.0,COMPLETED,11
8e0c2a3a,2026-05-27 11:27:33.144600,Mumbai_Andheri,306.72,5.0,COMPLETED,11
6bca28f8,2026-05-27 12:15:52.144606,Mumbai_Thane,388.94,4.0,COMPLETED,12
0f270b40,2026-05-27 12:17:02.144613,Mumbai_Thane,788.22,4.0,COMPLETED,12
3a9af70c,2026-05-27 12:03:45.144619,Mumbai_Bandra,934.85,4.0,COMPLETED,12
e18fc66a,2026-05-27 11:44:23.144625,Mumbai_Andheri,1332.85,4.0,CANCELLED,11
4d8d4108,2026-05-27 11:30:14.144631,Mumbai_Bandra,370.2,5.0,COMPLETED,11
617b1206,2026-05-27 12:01:13.144638,Mumbai_Bandra,367.88,4.0,COMPLETED,12
7e84ad0c,2026-05-27 11:36:32.144644,Mumbai_Colaba,1491.0,5.0,CANCELLED,11
3197eecc,2026-05-27 11:31:43.144650,Mumbai_Colaba,994.54,1.0,COMPLETED,11
36288134,2026-05-27 12:24:29.144656,Mumbai_Colaba,281.74,4.0,COMPLETED,12
7eb0fb9e,2026-05-27 12:01:02.144662,Mumbai_Thane,832.65,2.0,COMPLETED,12
8355f9c6,2026-05-27 11:39:14.144669,Mumbai_Thane,436.31,5.0,CANCELLED,11
7528c3d7,2026-05-27 12:11:19.144675,Mumbai_Andheri,316.84,3.0,CANCELLED,12
