ride_id,timestamp,pickup_location,fare_amount,driver_rating,ride_status
277dc2ab,2026-05-27 11:31:26.142206,Mumbai_Thane,509.55,1.0,COMPLETED
e0db8ef4,2026-05-27 11:58:14.144225,Mumbai_Bandra,360.35,4.0,COMPLETED
eea0f7cc,2026-05-27 11:30:05.144267,Mumbai_Colaba,278.93,2.0,CANCELLED
fe92c291,2026-05-27 12:11:49.144278,Mumbai_Bandra,531.39,5.0,COMPLETED
0080992a,2026-05-27 12:10:38.144285,Mumbai_Thane,1354.2,5.0,NO_DRIVER_AVAILABLE
790ab81b,2026-05-27 11:27:16.144293,Mumbai_Andheri,435.86,5.0,COMPLETED
a09c3985,2026-05-27 11:35:24.144299,Mumbai_Thane,298.44,4.0,CANCELLED
c1d10f93,2026-05-27 12:23:40.144306,Mumbai_Andheri,1366.98,,COMPLETED
246d0032,2026-05-27 11:31:38.144313,Mumbai_Colaba,630.75,5.0,COMPLETED
1385d0c0,2026-05-27 11:36:03.144320,Mumbai_Colaba,133.3,4.0,CANCELLED
022669d3,2026-05-27 11:51:39.144326,Mumbai_Colaba,687.68,5.0,COMPLETED
a3066998,2026-05-27 11:57:19.144333,Mumbai_Bandra,-50.0,1.0,COMPLETED
7c7b2ec1,2026-05-27 11:51:10.144339,Mumbai_Thane,317.76,5.0,COMPLETED
12c8eece,2026-05-27 11:51:01.144345,Mumbai_Bandra,-50.0,4.0,COMPLETED
14bb8c4d,2026-05-27 12:23:29.144352,Mumbai_Andheri,781.99,4.0,COMPLETED
cde76fbb,2026-05-27 12:09:46.144358,Mumbai_Colaba,355.43,2.0,COMPLETED
87de352d,2026-05-27 12:06:30.144365,Mumbai_Andheri,796.23,3.0,COMPLETED
bc06e703,2026-05-27 11:28:29.144371,Mumbai_Colaba,659.96,3.0,CANCELLED
6566ceee,2026-05-27 12:12:50.144378,Mumbai_Colaba,1299.47,3.0,COMPLETED
c2d14246,2026-05-27 11:37:09.144384,Mumbai_Bandra,226.28,4.0,CANCELLED
3a88166c,2026-05-27 11:33:33.144390,Mumbai_Colaba,1267.66,5.0,CANCELLED
e824ee30,2026-05-27 11:55:33.144404,Mumbai_Colaba,1159.33,4.0,COMPLETED
15c654ad,2026-05-27 11:31:41.144412,Mumbai_Bandra,1121.88,5.0,COMPLETED
c9acea09,2026-05-27 11:31:17.144418,Mumbai_Colaba,801.89,5.0,CANCELLED
db977ba5,2026-05-27 11:34:47.144425,Mumbai_Colaba,1156.27,3.0,COMPLETED
640af8e6,2026-05-27 11:47:43.144431,Mumbai_Colaba,787.24,,COMPLETED
bb75038c,2026-05-27 11:26:08.144438,Mumbai_Colaba,299.28,5.0,CANCELLED
e5d073c7,2026-05-27 11:40:25.144444,Mumbai_Colaba,837.16,5.0,COMPLETED
0ed19cb8,2026-05-27 11:27:06.144450,Mumbai_Bandra,147.75,2.0,COMPLETED
06f89e76,2026-05-27 12:15:00.144457,Mumbai_Andheri,899.29,5.0,COMPLETED
67caedf6,2026-05-27 11:53:45.144463,Mumbai_Bandra,898.12,3.0,NO_DRIVER_AVAILABLE
68003a24,2026-05-27 11:26:04.144469,Mumbai_Thane,1026.35,5.0,COMPLETED
67dc5132,2026-05-27 11:57:38.144475,Mumbai_Andheri,974.02,1.0,COMPLETED
03a10780,2026-05-27 12:18:09.144482,Mumbai_Bandra,632.09,4.0,COMPLETED
cbf07be0,2026-05-27 12:22:18.144488,Mumbai_Andheri,844.21,5.0,CANCELLED
8224bd8e,2026-05-27 12:21:24.144494,Mumbai_Andheri,1235.28,1.0,COMPLETED
dd2e77c7,2026-05-27 12:03:05.144500,Mumbai_Andheri,145.75,5.0,COMPLETED
5b0b4045,2026-05-27 12:04:37.144507,Mumbai_Thane,482.27,5.0,CANCELLED
8483e762,2026-05-27 11:29:03.144513,Mumbai_Bandra,364.3,4.0,COMPLETED
a03a3350,2026-05-27 11:40:28.144519,Mumbai_Andheri,899.9,4.0,CANCELLED
668520f7,2026-05-27 11:39:36.144525,Mumbai_Thane,440.37,5.0,COMPLETED
